reqione_nome,regione_id,fixline_and_mobile,fixline_and_nomobile,tot_hh,perc_hh_wt_fixline
    Piemonte,wd:Q1216,1199035,142195,1944203,0.6898610896
    Valle d'Aosta,wd:Q1222,31458,3301,59075,0.5883876428
    Liguria,wd:Q1256,475920,49894,754637,0.696777391
    Lombardia,wd:Q1210,2728504,277475,4143050,0.7255473625
    Trentino Alto Adige,wd:Q1237,261086,26952,423624,0.6799378694
    Veneto,wd:Q1243,1239641,151568,1981256,0.7021853814
    Friuli-Venezia Giulia,wd:Q1250,336110,48949,545960,0.7052879332
    Emilia-Romagna,wd:Q1263,1203782,141568,1909938,0.7043945929
    Toscana,wd:Q1273,1036819,98784,1563125,0.7264953219
    Umbria,wd:Q1280,225456,27623,366294,0.6909176781
    Marche,wd:Q1279,396324,49368,623123,0.7152552546
    Lazio,wd:Q1282,1584946,129626,2321634,0.7385195082
    Abruzzo,wd:Q1284,297306,43367,521233,0.6535906207
    Molise,wd:Q1443,68824,14147,127691,0.6497795459
    Campania,wd:Q1438,1221439,177715,2051691,0.6819516194
    Puglia,wd:Q1447,816446,135243,1528485,0.6226354855
    Basilicata,wd:Q1452,120682,23939,229272,0.6307835235
    Calabria,wd:Q1458,376100,72345,770662,0.5818958246
    Sicilia,wd:Q1460,1020744,161266,1956315,0.6042022885
    Sardegna,wd:Q1462,348679,39827,674061,0.5763662339
